symbol,name,sector,market_cap_bucket
XRF.AX,XRF Scientific,Technology,small
AVA.AX,Ava Risk,Technology,small
DVL.AX,Dorsavi,Healthcare,small
RHT.AX,Resonance Health,Healthcare,small
MSB.AX,Mesoblast,Healthcare,small
RAC.AX,Race Oncology,Healthcare,small
PAR.AX,Paradigm,Healthcare,small
ACR.AX,Acrux,Healthcare,small
DXB.AX,Dimerix,Healthcare,small
CTD.AX,Corporate Travel,Consumer,small
MFG.AX,Magellan,Financial,small
HUB.AX,Hub24,Financial,small
PNI.AX,Pinnacle,Financial,small
GQG.AX,GQG Partners,Financial,small
IFL.AX,Insignia Financial,Financial,small
AZJ.AX,Aurizon,Industrials,small
ALD.AX,Ampol,Energy,small
STO.AX,Santos,Energy,small
WDS.AX,Woodside,Energy,small
BPT.AX,Beach Energy,Energy,small
KAR.AX,Karoon Energy,Energy,small
EXR.AX,Elixir Energy,Energy,small
IVZ.AX,Invictus Energy,Energy,small
88E.AX,88 Energy,Energy,small
LRS.AX,Latin Resources,Materials,small
GL1.AX,Global Lithium,Materials,small
SYR.AX,Syrah,Materials,small
BHP.AX,BHP,Materials,small
RIO.AX,Rio Tinto,Materials,small
FMG.AX,Fortescue,Materials,small
CHN.AX,Chalice Mining,Materials,small
A1M.AX,AIC Mines,Materials,small
NC6.AX,Nanollose,Materials,small
QPM.AX,QPM Energy,Energy,small
MTH.AX,Mithril Silver,Materials,small
MTM.AX,MTM Critical Metals,Materials,small
CXM.AX,Centrex Metals,Materials,small
CXL.AX,Calix,Materials,small
C7A.AX,Clarity Pharma,Healthcare,small
DRO.AX,Droneshield,Technology,small
EOS.AX,Electro Optic Systems,Technology,small
EOS.AX,Electro Optic Systems,Technology,small
TLG.AX,TLG.AX,Mixed,small
PLL.AX,PLL.AX,Mixed,small
EMN.AX,EMN.AX,Mixed,small
PRN.AX,PRN.AX,Mixed,small
AXE.AX,AXE.AX,Mixed,small
SBR.AX,SBR.AX,Mixed,small
SMR.AX,SMR.AX,Mixed,small
SLX.AX,SLX.AX,Mixed,small
MEI.AX,MEI.AX,Mixed,small
FEX.AX,FEX.AX,Mixed,small
GMD.AX,GMD.AX,Mixed,small
SVL.AX,SVL.AX,Mixed,small
KCN.AX,KCN.AX,Mixed,small
RRL.AX,RRL.AX,Mixed,small
OBM.AX,OBM.AX,Mixed,small
MTC.AX,MTC.AX,Mixed,small
ALC.AX,ALC.AX,Mixed,small
NXL.AX,NXL.AX,Mixed,small
AEF.AX,AEF.AX,Mixed,small
WAF.AX,WAF.AX,Mixed,small
BMN.AX,BMN.AX,Mixed,small
GTR.AX,GTR.AX,Mixed,small
XTC.AX,XTC.AX,Mixed,small
STX.AX,STX.AX,Mixed,small
NMT.AX,NMT.AX,Mixed,small
ARU.AX,ARU.AX,Mixed,small
PGY.AX,PGY.AX,Mixed,small
1ST.AX,1ST.AX,Mixed,small
RUL.AX,RUL.AX,Mixed,small
TYR.AX,TYR.AX,Mixed,small
SOV.AX,SOV.AX,Mixed,small
GLN.AX,GLN.AX,Mixed,small
QBE.AX,QBE.AX,Mixed,small
SUN.AX,SUN.AX,Mixed,small
MPL.AX,MPL.AX,Mixed,small
ORG.AX,ORG.AX,Mixed,small
WOR.AX,WOR.AX,Mixed,small
NIC.AX,NIC.AX,Mixed,small
APE.AX,APE.AX,Mixed,small
PDL.AX,PDL.AX,Mixed,small
JLG.AX,JLG.AX,Mixed,small
SGR.AX,SGR.AX,Mixed,small
DDR.AX,DDR.AX,Mixed,small
MNY.AX,MNY.AX,Mixed,small
NVU.AX,NVU.AX,Mixed,small
IPB.AX,IPB.AX,Mixed,small
A8G.AX,A8G.AX,Mixed,small
ASX.AX,ASX.AX,Mixed,small
ALU.AX,ALU.AX,Mixed,small
SGP.AX,SGP.AX,Mixed,small
AMP.AX,AMP.AX,Mixed,small
CHC.AX,CHC.AX,Mixed,small
ALQ.AX,ALQ.AX,Mixed,small
BEN.AX,BEN.AX,Mixed,small
SDF.AX,SDF.AX,Mixed,small
TPL.AX,TPL.AX,Mixed,small
AAD.AX,AAD.AX,Mixed,small
AIA.AX,AIA.AX,Mixed,small
SNZ.AX,SNZ.AX,Mixed,small
DMP.AX,DMP.AX,Mixed,small
PME.AX,PME.AX,Mixed,small
IEL.AX,IEL.AX,Mixed,small
WPR.AX,WPR.AX,Mixed,small
BOQ.AX,BOQ.AX,Mixed,small
LYC.AX,LYC.AX,Mixed,small
CNU.AX,CNU.AX,Mixed,small
RWC.AX,RWC.AX,Mixed,small
VCX.AX,VCX.AX,Mixed,small
BKW.AX,BKW.AX,Mixed,small
CMM.AX,CMM.AX,Mixed,small
NWL.AX,NWL.AX,Mixed,small
CIP.AX,CIP.AX,Mixed,small
SYD.AX,SYD.AX,Mixed,small
CBA.AX,CBA.AX,Mixed,small
NAB.AX,NAB.AX,Mixed,small
WBC.AX,WBC.AX,Mixed,small
ANZ.AX,ANZ.AX,Mixed,small
MQG.AX,MQG.AX,Mixed,small
